Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
2819,Luca Waldschmidt,de GER,MFFW,Wolfsburg,de Bundesliga,25,1996,8,2,0,0,11,11,0,5,10,3,1,0,0,46,3,13,18.8
2820,Kyle Walker,eng ENG,DF,Manchester City,eng Premier League,31,1990,19.5,1,0,0,7,13,1,28,25,16,0,0,0,155,21,17,55.3
2821,Kyle Walker-Peters,eng ENG,DF,Southampton,eng Premier League,24,1997,29.3,5,0,0,29,53,3,33,56,27,0,0,0,252,32,40,44.4
2822,Sebastian Walukiewicz,pl POL,DF,Cagliari,it Serie A,21,2000,3.4,1,0,0,4,4,0,1,9,5,0,0,0,20,2,3,40
2823,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,23,1997,19.9,2,0,0,19,17,1,22,51,25,0,1,0,164,19,31,38
2824,Paul Wanner,de GER,FWMF,Bayern Munich,de Bundesliga,15,2005,0.4,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0
2825,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2826,Joel Ward,eng ENG,DF,Crystal Palace,eng Premier League,31,1989,27.6,8,0,0,30,25,1,30,54,28,0,0,0,242,80,37,68.4
2827,James Ward-Prowse,eng ENG,MF,Southampton,eng Premier League,26,1994,35.7,3,1,0,30,30,0,68,60,26,0,0,0,414,34,40,45.9
2828,Magnus Warming,dk DEN,FWDF,Torino,it Serie A,21,2000,0.6,0,0,0,1,0,1,1,0,1,0,0,0,8,1,3,25
2829,Daniel Wass,dk DEN,MF,Valencia,es La Liga,32,1989,17.6,6,0,0,37,19,0,19,16,22,0,0,0,173,27,23,54
2830,Daniel Wass,dk DEN,DF,Atlético Madrid,es La Liga,32,1989,0.5,1,0,0,1,1,1,0,1,0,0,0,0,5,0,2,0
2831,Ollie Watkins,eng ENG,FW,Aston Villa,eng Premier League,25,1995,32.8,7,0,0,38,48,17,23,17,14,1,0,0,104,88,120,42.3
2832,Timothy Weah,us USA,MFFW,Lille,fr Ligue 1,21,2000,18,2,1,0,11,25,6,50,18,16,1,0,0,92,21,29,42
2833,Adam Webster,eng ENG,DF,Brighton,eng Premier League,26,1995,15.9,5,0,0,18,3,0,4,25,13,0,0,0,185,66,18,78.6
2834,Wout Weghorst,nl NED,FW,Wolfsburg,de Bundesliga,28,1992,17.3,2,0,0,17,36,14,2,3,7,0,0,0,82,54,46,54
2835,Wout Weghorst,nl NED,FW,Burnley,eng Premier League,28,1992,16.1,3,0,0,33,21,9,8,8,12,0,0,0,97,66,107,38.2
2836,Noah Weißhaupt,de GER,MFFW,Freiburg,de Bundesliga,19,2001,1.1,0,0,0,3,3,0,3,4,0,0,0,0,10,1,1,50
2837,Danny Welbeck,eng ENG,FW,Brighton,eng Premier League,30,1990,16.4,0,0,0,19,19,4,6,5,12,1,0,0,51,47,66,41.6
2838,Timo Werner,de GER,FWMF,Chelsea,eng Premier League,25,1996,14.3,1,0,0,13,15,11,28,4,4,0,0,0,72,9,22,29
2839,Ashley Westwood,eng ENG,MF,Burnley,eng Premier League,31,1990,25.4,7,0,0,32,25,0,37,43,23,0,1,0,268,10,21,32.3
2840,Ben White,eng ENG,DF,Arsenal,eng Premier League,23,1997,32,3,0,0,22,29,0,4,66,23,0,1,1,302,68,45,60.2
2841,Silvan Widmer,ch SUI,DF,Mainz 05,de Bundesliga,28,1993,32.4,1,0,0,39,20,1,56,46,43,0,1,0,256,48,48,50
2842,Georginio Wijnaldum,nl NED,MF,Paris S-G,fr Ligue 1,30,1990,18.4,2,0,0,8,20,0,1,11,12,0,1,0,110,13,7,65
2843,Jetro Willems,nl NED,DF,Greuther Fürth,de Bundesliga,27,1994,17.8,5,0,0,15,12,0,39,39,20,0,0,0,157,23,17,57.5
2844,Brandon Williams,eng ENG,DF,Norwich City,eng Premier League,20,2000,23.6,8,0,0,26,53,0,18,61,29,0,0,0,172,22,20,52.4
2845,Iñaki Williams,es ESP,FW,Athletic Club,es La Liga,27,1994,30.9,4,0,0,28,47,29,56,4,11,0,0,0,109,60,73,45.1
2846,Neco Williams,wls WAL,DF,Liverpool,eng Premier League,20,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
2847,Nico Williams,es ESP,MF,Athletic Club,es La Liga,19,2002,14.9,4,0,0,27,31,10,50,12,15,1,0,0,94,11,15,42.3
2848,Joe Willock,eng ENG,MF,Newcastle Utd,eng Premier League,21,1999,22.6,0,0,0,41,32,0,13,30,44,0,0,0,147,19,36,34.5
2849,Callum Wilson,eng ENG,FW,Newcastle Utd,eng Premier League,29,1992,15.4,4,0,0,31,26,17,5,4,6,0,0,0,40,30,78,27.8
2850,Patrick Wimmer,at AUT,FWMF,Arminia,de Bundesliga,20,2001,22.8,7,0,0,53,38,5,23,46,40,1,1,0,231,38,61,38.4
2851,Jonas Wind,dk DEN,FWMF,Wolfsburg,de Bundesliga,22,1999,13.1,0,0,0,16,34,7,6,9,7,0,0,0,71,70,65,51.9
2852,Marten Winkler,de GER,MF,Hertha BSC,de Bundesliga,18,2002,0.3,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,
2853,Harry Winks,eng ENG,MF,Tottenham,eng Premier League,25,1996,10.1,2,0,0,12,16,0,9,19,7,0,0,0,75,5,7,41.7
2854,Frederik Winther,dk DEN,DF,Augsburg,de Bundesliga,20,2001,3.6,1,0,0,1,0,0,0,9,4,0,0,0,38,12,15,44.4
2855,Florian Wirtz,de GER,MFFW,Leverkusen,de Bundesliga,18,2003,20.6,2,0,0,17,30,10,30,29,18,1,0,0,138,13,38,25.5
2856,Yoane Wissa,cd COD,FWMF,Brentford,eng Premier League,24,1996,14.3,0,0,0,11,27,7,12,9,8,0,0,0,67,26,27,49.1
2857,Axel Witsel,be BEL,MFDF,Dortmund,de Bundesliga,32,1989,21.6,4,0,0,26,31,1,1,33,32,0,2,0,201,33,18,64.7
2858,Hannes Wolf,at AUT,FWMF,M'Gladbach,de Bundesliga,22,1999,3.4,2,0,0,8,6,0,4,5,10,0,0,0,30,0,7,0
2859,Marius Wolf,de GER,DFFW,Dortmund,de Bundesliga,26,1995,14.7,4,0,0,18,17,4,26,26,12,1,0,0,95,9,20,31
2860,Luca Wollschläger,de GER,FW,Hertha BSC,de Bundesliga,18,2003,0.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2861,Jeong Woo-yeong,kr KOR,FWMF,Freiburg,de Bundesliga,21,1999,19.8,1,0,0,10,19,12,25,19,9,0,0,0,103,28,57,32.9
2862,Chris Wood,nz NZL,FW,Burnley,eng Premier League,29,1991,15.2,1,0,0,14,9,16,5,4,8,0,0,0,41,114,105,52.1
2863,Chris Wood,nz NZL,FW,Newcastle Utd,eng Premier League,29,1991,14.7,0,0,0,22,13,10,2,2,3,1,0,0,51,146,128,53.3
2864,Freddie Woodman,eng ENG,GK,Newcastle Utd,eng Premier League,24,1997,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
2865,Christopher Wooh,cm CMR,DF,Lens,fr Ligue 1,19,2001,11.7,2,0,0,10,12,0,1,20,24,1,1,0,87,26,14,65
